iso,name,show (1 = yes, 0 = no)
AJL,Ajlun,1,
AMM,Amman,1,
AQA,Aqaba,1,
BAL,Balqa,1,
IRB,Irbid,1,
JAR,Jarash,1,
KAR,Karak,1,
MAA,Maan,1,
MAD,Madaba,1,
MAF,Mafraq,1,
TAF,Tafileh,1,
ZAR,Zarqa,1,
